                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0212,                0.82065,                 1.6834,                 0.9998,                 0.9918,                  0.995,                0.77851,                0.84316,                0.71187,                 1.8941,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.027,                0.81525,                 1.7245,                0.99948,                 0.9918,                  0.995,                0.78373,                0.79913,                0.66803,                 1.8267,              0.0006603,              0.0006603,              0.0006603
                     64,                0.99341,                0.80573,                 1.6793,                0.99948,                 0.9918,                  0.995,                0.78887,                0.82645,                 0.7033,                 1.8318,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.0627,                0.79041,                 1.7632,                0.99956,                 0.9918,                  0.995,                 0.7849,                0.82569,                0.74246,                 1.8398,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.0219,                0.80699,                 1.6936,                0.99924,                 0.9918,                  0.995,                0.78208,                0.83179,                0.71607,                 1.8268,             0.00061079,             0.00061079,             0.00061079
                     67,                0.99511,                0.75107,                 1.6604,                      1,                0.99179,                  0.995,                0.78919,                0.83969,                 0.6946,                 1.8282,             0.00059429,             0.00059429,             0.00059429
                     68,                0.97908,                0.75892,                 1.6754,                0.99083,                 0.9918,                0.99484,                0.79483,                0.81973,                0.71214,                 1.8118,             0.00057778,             0.00057778,             0.00057778
                     69,                0.96132,                0.74402,                 1.6857,                0.99063,                 0.9918,                0.99484,                0.79725,                0.82133,                0.67971,                 1.8452,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0228,                0.79606,                 1.7149,                0.99068,                 0.9918,                0.99492,                0.80486,                0.80375,                0.66125,                 1.7854,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0593,                0.80516,                 1.6979,                      1,                0.98966,                  0.995,                0.79209,                0.81852,                0.66023,                 1.7796,             0.00052827,             0.00052827,             0.00052827
                     72,                0.98057,                0.73579,                 1.6355,                0.99096,                 0.9918,                0.99484,                0.78653,                0.84726,                0.64658,                 1.8219,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0135,                0.75082,                 1.6702,                0.99917,                 0.9918,                  0.995,                0.79236,                0.86249,                0.65791,                 1.8823,             0.00049527,             0.00049527,             0.00049527
                     74,                0.94682,                0.73258,                 1.6074,                0.99939,                 0.9918,                  0.995,                0.79659,                0.81008,                0.66562,                  1.848,             0.00047876,             0.00047876,             0.00047876
                     75,                0.91368,                0.71384,                 1.6221,                0.99932,                 0.9918,                  0.995,                0.79932,                0.78871,                0.66473,                 1.8152,             0.00046226,             0.00046226,             0.00046226
                     76,                0.96776,                0.69861,                 1.6407,                0.99816,                 0.9918,                  0.995,                0.80793,                0.77157,                0.63218,                 1.7541,             0.00044576,             0.00044576,             0.00044576
                     77,                0.91926,                0.70057,                 1.6364,                0.99821,                 0.9918,                  0.995,                0.77754,                0.85596,                0.68954,                 1.8306,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.9048,                 0.6666,                 1.6377,                 0.9973,                 0.9918,                  0.995,                0.79196,                0.80092,                 0.6575,                 1.7439,             0.00041275,             0.00041275,             0.00041275
                     79,                0.90514,                0.65077,                 1.5998,                0.99699,                 0.9918,                  0.995,                0.80826,                0.79672,                 0.6312,                 1.7138,             0.00039625,             0.00039625,             0.00039625
                     80,                0.90967,                0.67515,                 1.5965,                0.99694,                 0.9918,                  0.995,                0.80374,                0.79178,                0.62493,                 1.7296,             0.00037974,             0.00037974,             0.00037974
                     81,                 0.9323,                0.70642,                 1.5916,                0.99971,                 0.9918,                  0.995,                0.79538,                0.79026,                0.62085,                 1.7501,             0.00036324,             0.00036324,             0.00036324
                     82,                0.89579,                0.67132,                 1.6206,                0.99724,                 0.9918,                  0.995,                0.78827,                0.79937,                0.61317,                  1.785,             0.00034674,             0.00034674,             0.00034674
                     83,                0.93227,                0.65907,                 1.6296,                0.99865,                 0.9918,                  0.995,                0.79377,                0.76773,                0.59294,                 1.7477,             0.00033023,             0.00033023,             0.00033023
                     84,                0.92801,                0.66529,                  1.584,                0.99929,                 0.9918,                  0.995,                0.79852,                0.78792,                0.59054,                 1.7582,             0.00031373,             0.00031373,             0.00031373
                     85,                0.90983,                 0.6522,                 1.5516,                0.99951,                 0.9918,                  0.995,                0.80004,                0.78236,                0.58359,                 1.7517,             0.00029723,             0.00029723,             0.00029723
                     86,                0.92094,                0.67396,                 1.5832,                0.99927,                 0.9918,                  0.995,                0.80574,                0.76324,                0.58523,                 1.7373,             0.00028072,             0.00028072,             0.00028072
                     87,                0.88369,                0.64889,                 1.5549,                0.99877,                 0.9918,                  0.995,                0.81155,                 0.7563,                0.58458,                 1.7189,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.8908,                0.66404,                 1.5798,                0.99888,                 0.9918,                  0.995,                 0.8148,                0.75004,                0.59299,                 1.6904,             0.00024772,             0.00024772,             0.00024772
                     89,                  0.914,                 0.6632,                  1.578,                0.99886,                 0.9918,                  0.995,                0.81236,                0.74082,                0.58585,                 1.6748,             0.00023121,             0.00023121,             0.00023121
                     90,                0.85621,                0.61702,                 1.5421,                0.99848,                 0.9918,                  0.995,                0.81034,                0.73431,                0.57329,                 1.6831,             0.00021471,             0.00021471,             0.00021471
                     91,                0.77963,                 1.0009,                 1.7246,                0.99908,                 0.9918,                  0.995,                0.80759,                  0.728,                0.57222,                 1.6934,             0.00019821,             0.00019821,             0.00019821
                     92,                0.62215,                0.71528,                 1.5311,                0.99922,                 0.9918,                  0.995,                0.80383,                0.72987,                0.55813,                 1.7025,              0.0001817,              0.0001817,              0.0001817
                     93,                0.58394,                0.64901,                 1.5114,                0.99937,                 0.9918,                  0.995,                0.80115,                0.73279,                0.55859,                 1.7106,              0.0001652,              0.0001652,              0.0001652
                     94,                0.59869,                0.56937,                 1.5631,                0.99826,                 0.9918,                  0.995,                0.81003,                0.72465,                0.56673,                 1.6874,              0.0001487,              0.0001487,              0.0001487
                     95,                0.56385,                0.55619,                  1.517,                0.99967,                 0.9918,                  0.995,                0.81268,                0.73538,                0.58874,                 1.7035,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.5993,                0.52784,                  1.537,                0.99967,                 0.9918,                  0.995,                0.80993,                0.75753,                0.58996,                 1.7315,             0.00011569,             0.00011569,             0.00011569
                     97,                0.54841,                0.49261,                 1.4558,                0.99968,                 0.9918,                  0.995,                0.80979,                0.75656,                0.58202,                 1.7281,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.55857,                0.50871,                 1.4566,                0.99974,                 0.9918,                  0.995,                0.81518,                0.74415,                0.57934,                 1.7159,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.56715,                0.49761,                 1.4733,                0.99974,                 0.9918,                  0.995,                 0.8168,                0.73419,                0.57563,                  1.707,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.58773,                0.49451,                 1.4658,                 0.9997,                 0.9918,                  0.995,                0.81988,                0.73514,                0.56694,                 1.7085,             4.9677e-05,             4.9677e-05,             4.9677e-05
